Target_gene	chr
Pa1	X
lncRNA:CR43334	3L
CG46385	2R
aqz	3R
hpRNA:CR46342	X
cv-c	3R
Letm1	2R
eEF1alpha1	2R
prage	X
Vha26	3R
lola	2R
S6k	3L
FASN1	2L
dmt	3R
ap	2R
Der-1	2L
lncRNA:CR46194	2R
Maf1	2R
lncRNA:CR46123	3R
Frl	3L
rump	3R
pre-rRNA:CR45847	rDNA
pre-rRNA:CR45845	rDNA
mamo	X
Bruce	3R
Exo84	3R
Hsc70-4	3R
kis	2L
Kr-h2	2L
CG45050	3R
CG45049	3R
pre-mod(mdg4)-I	3R
sno	X
zip	2R
SC35	2L
pAbp	2R
Meltrin	3R
Irk1	3R
Hph	3R
gpp	3R
CG43736	X
fok	2L
lncRNA:CR43626	3L
Vha68-2	2L
mld	3R
snoRNA:lola-a	2R
snoRNA:CG32479-a	3L
lncRNA:CR43459	3R
sqd	3R
cnc	3R
mt:ND4	mitochondrion&genome
AGO1	2R
mub	3L
Vha16-1	2R
dtn	X
Arp3	3L
Sap130	3L
Myc	X
Sarm	3L
CG9932	2L
kibra	3R
IntS3	2R
RanBPM	2R
lncRNA:CR42862	3L
osa	3R
Msp300	2L
Asx	2R
pico	X
Trf2	X
larp	3R
nej	X
kug	3L
Thor	2L
CG42674	3L
ps	3R
CG42663	2R
SREBP	3L
scny	3L
Vps15	3R
dnr1	2R
eIF4G2	3R
Ziz	2L
Pbp49	2R
UQCR-11	3L
kuz	2L
cwo	3R
Nop60B	2R
Hip14	3L
wech	2R
bun	2L
alpha-Man-Ia	X
futsch	X
alpha-Spec	3L
kra	3R
AGO2	3L
Nacalpha	2R
CG17078	2L
step	2L
chinmo	2L
l(3)L1231	3R
p	3R
spin	2R
shrb	2R
jing	2R
snoRNA:Psi28S-3436b	X
Spt-I	2R
lap	3R
ALiX	3R
Akr1B	3L
snoRNA:Me28S-G3253	3L
snoRNA:Me28S-G3113a	3L
Not1	2R
pan	4
CG34401	X
Epac	2R
snoRNA:Psi18S-1389a	2R
snoRNA:Psi18S-640f	2L
snoRNA:Psi18S-640g	2L
snoRNA:Psi18S-920	3L
snoRNA:Psi28S-2626	3R
snoRNA:Psi28S-3305a	3R
snoRNA:Psi28S-3305c	3R
snoRNA:Psi28S-3385a	3R
snoRNA:Psi28S-3405b	3R
dbr	2L
RpL5	2L
Lasp	3L
MFS17	2R
