Target_gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	Representative miRNA	Cumulative weighted context score	Total context score	Aggregate PCT	Previous TargetScan publication(s)
DIP-delta	FBtr0333612	Dpr-interacting protein delta	250	1	1	0	0	1	0	1	0	dme-miR-999-3p	-3.10	-3.48	0.76	
pros	FBtr0304603	prospero	7546	0	0	0	0	4	1	2	1	dme-miR-999-3p	-2.50	-5.12	0.25	
Sec61gamma	FBtr0340610	Sec61 gamma subunit	6905	1	1	0	0	0	0	0	0	dme-miR-999-3p	-2.13	-2.14	0.60	
nAChRalpha1	FBtr0334916	nicotinic Acetylcholine Receptor alpha1	676	2	2	0	0	0	0	0	0	dme-miR-999-3p	-1.89	-3.64	0.93	
CG46315	FBtr0452130	-	2183	1	1	0	0	0	0	0	0	dme-miR-999-3p	-1.80	-1.88	0.73	
CG10170	FBtr0084420	-	81	0	0	0	0	2	1	0	1	dme-miR-999-3p	-1.77	-1.89	< 0.1	
CG31644	FBtr0079159	-	1894	0	0	0	0	1	1	0	0	dme-miR-999-3p	-1.73	-1.82	< 0.1	
CG15422	FBtr0077505	-	4162	0	0	0	0	1	1	0	0	dme-miR-999-3p	-1.69	-1.72	< 0.1	
CG6308	FBtr0074036	-	630	0	0	0	0	1	1	0	0	dme-miR-999-3p	-1.67	-1.90	< 0.1	
CG43116	FBtr0305046	-	5	1	1	0	0	0	0	0	0	dme-miR-999-3p	-1.65	-1.65	0.73	
CG13786	FBtr0333353	-	22	0	0	0	0	1	0	1	0	dme-miR-999-3p	-1.58	-1.58	0.17	
CG34225	FBtr0112418	-	5	0	0	0	0	1	1	0	0	dme-miR-999-3p	-1.55	-1.55	< 0.1	
Der-1	FBtr0077813	Derlin-1	10009	1	1	0	0	0	0	0	0	dme-miR-999-3p	-1.48	-1.48	0.71	
CG12490	FBtr0302717	-	5	0	0	0	0	1	1	0	0	dme-miR-999-3p	-1.47	-1.47	< 0.1	
CG34351	FBtr0112561	-	456	1	1	0	0	0	0	0	0	dme-miR-999-3p	-1.45	-1.47	0.73	2011
Cpr76Bb	FBtr0074933	Cuticular protein 76Bb	130	0	0	0	0	1	1	0	0	dme-miR-999-3p	-1.44	-1.44	< 0.1	
hng2	FBtr0081919	hinge2	1605	0	0	0	0	1	1	0	0	dme-miR-999-3p	-1.44	-1.45	< 0.1	
CG15475	FBtr0081381	-	1574	0	0	0	0	1	1	0	0	dme-miR-999-3p	-1.41	-1.41	< 0.1	
CG43732	FBtr0330024	-	497	2	1	0	1	0	0	0	0	dme-miR-999-3p	-1.37	-2.00	0.88	
CG4558	FBtr0070995	-	1230	1	1	0	0	0	0	0	0	dme-miR-999-3p	-1.37	-1.43	0.69	
cpx	FBtr0336482	complexin	14598	1	1	0	0	0	0	0	0	dme-miR-999-3p	-1.36	-1.44	0.50	
CG3104	FBtr0077686	-	122	0	0	0	0	2	1	0	1	dme-miR-999-3p	-1.34	-1.58	0.25	
ths	FBtr0304622	thisbe	518	1	1	0	0	1	1	0	0	dme-miR-999-3p	-1.30	-2.26	< 0.1	
CG3857	FBtr0070349	-	128	1	1	0	0	0	0	0	0	dme-miR-999-3p	-1.25	-1.25	0.72	
CG31954	FBtr0077563	-	13	0	0	0	0	1	1	0	0	dme-miR-999-3p	-1.25	-1.25	< 0.1	
PIG-U	FBtr0079682	Phosphatidylinositol glycan anchor biosynthesis class U	3736	0	0	0	0	1	0	1	0	dme-miR-999-3p	-1.24	-1.27	< 0.1	
CG12106	FBtr0071306	-	702	1	1	0	0	0	0	0	0	dme-miR-999-3p	-1.23	-1.26	0.72	
